,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-75,Feb-75,Mar-75,Apr-75,May-75,Jun-75,Jul-75,Aug-75,Sep-75,Oct-75,Nov-75,Dec-75,Jan-76,Feb-76,Mar-76,Apr-76,May-76,Jun-76,Jul-76,Aug-76,Sep-76,Oct-76,Nov-76,Dec-76,Jan-77,Feb-77,Mar-77,Apr-77,May-77,Jun-77,Jul-77,Aug-77,Sep-77,Oct-77,Nov-77,Dec-77,Jan-78,Feb-78,Mar-78,Apr-78,May-78,Jun-78,Jul-78,Aug-78,Sep-78,Oct-78,Nov-78,Dec-78
Thailand,Asia & Oceania,(THB/kg : G),Robusta,20.47,20.47,20.47,19.11,19.11,19.11,18.00,18.00,18.00,19.90,19.90,19.90,20.00,20.00,20.00,22.75,22.75,22.75,20.50,20.50,20.50,26.58,26.58,26.58,25.50,25.50,25.50,92.24,92.24,92.24,78.00,78.00,78.00,87.19,87.19,87.19,56.97,56.97,56.97,41.56,41.56,41.56,48.50,48.50,48.50,45.22,45.22,45.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Central America & Mexico,(CRC/SQ : G),Arabica,329.00,329.00,329.00,329.00,329.00,329.00,329.00,329.00,329.00,581.00,581.00,581.00,581.00,581.00,581.00,581.00,581.00,581.00,581.00,581.00,581.00,"1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00","1,215.00",957.00,957.00,957.00,957.00,957.00,957.00,957.00,957.00,957.00,957.00,957.00,957.00,750.00,750.00,750.00
Cuba,Central America & Mexico,(CUP/28lb : F),Arabica,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20
Dominican Republic,Central America & Mexico,(DOP/SQ : G),Arabica,39.20,39.20,39.20,39.20,39.20,39.20,39.20,39.20,39.20,39.20,39.20,39.20,44.07,49.52,55.65,62.55,70.29,79.00,88.79,99.79,112.16,126.06,141.67,159.22,159.21,175.26,216.80,229.49,204.43,189.15,162.24,131.84,129.72,114.82,141.45,142.46,135.19,136.90,121.81,116.61,135.37,150.01,120.39,120.29,120.98,125.63,118.27,105.15
El Salvador,Central America & Mexico,(CES/SQ : G),Arabica,78.20,74.60,71.80,67.80,71.70,81.60,84.60,125.70,125.70,125.70,121.40,123.20,140.40,150.30,157.70,178.00,202.40,225.30,210.20,229.70,248.30,282.40,282.40,282.40,352.10,375.80,472.50,494.70,498.30,498.30,498.30,498.30,498.30,498.30,498.30,498.30,319.00,319.00,319.00,319.00,241.30,244.30,198.30,197.80,228.30,228.30,228.30,228.30
Guatemala,Central America & Mexico,(GTQ/SQ : G),Arabica,45.89,44.42,43.87,41.20,39.35,40.45,39.61,40.60,56.27,49.93,55.02,55.73,59.32,61.61,62.01,69.91,71.04,77.53,62.19,77.89,73.35,79.95,87.40,102.18,107.71,123.22,127.99,127.16,142.00,137.69,130.68,117.47,101.46,104.47,99.82,110.51,121.14,123.64,115.80,104.94,103.28,102.14,93.63,81.46,85.31,93.28,89.66,84.54
Haiti,Central America & Mexico,(HTG/kg : G),Arabica,2.16,2.04,1.86,1.66,1.62,1.80,1.96,2.82,2.90,3.04,2.90,2.92,3.44,4.22,4.72,5.92,7.30,7.66,7.48,6.62,6.72,8.52,9.60,11.46,12.40,12.34,17.46,17.42,11.66,9.60,6.82,7.00,6.72,5.36,8.04,8.24,9.86,9.06,6.92,7.84,4.10,4.35,4.55,6.00,8.00,8.06,6.70,6.00
Honduras,Central America & Mexico,(HNL/SQ : G),Arabica,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,331.00,331.00,331.00,332.30,332.30,332.30,241.10,241.10,241.10,231.60,231.60,231.60,277.00,330.00,402.00,419.00,465.00,426.00,445.00,422.00,343.00,160.00,179.00,233.50,266.40,271.21,233.40,207.60,219.10,224.80,213.70,150.90,168.80,180.10,181.41,165.50
