Ethiopia,Africa,(ETB/17kg : G),Arabica,99.86,105.67,105.42,98.78,108.99,108.49,116.40,117.09,115.07,115.59,126.60,119.13,136.74,137.23,145.96,148.58,152.49,159.12,152.35,147.05,146.91,153.15,195.21,222.64,226.41,246.59,238.46,243.60,217.21,213.87,187.84,197.39,188.63,164.47,187.27,191.38,218.64,197.10,192.90,184.86,178.38,169.85,162.13,162.07,161.67,160.40,216.99,276.93
Indonesia,Asia & Oceania,(IDR/kg : G),Arabica,"7,700.00","8,100.00","8,200.00","7,900.00","7,850.00","8,000.00","8,100.00","8,000.00","7,950.00","7,900.00","7,800.00","7,850.00","12,500.00","12,500.00","12,500.00","12,750.00","13,450.00","16,300.00","16,250.00","17,400.00","17,550.00","17,250.00","21,250.00","21,750.00","26,000.00","26,500.00","27,000.00","26,000.00","27,500.00","27,000.00","26,000.00","25,000.00","23,000.00","22,500.00","22,000.00","21,000.00","23,000.00","22,500.00","22,500.00","22,000.00","21,000.00","20,500.00","21,000.00","21,500.00","21,500.00","22,000.00","22,000.00","21,000.00"
Indonesia,Asia & Oceania,(IDR/kg : G),Robusta,"3,150.00","3,100.00","3,000.00","3,200.00","3,150.00","3,300.00","3,150.00","3,100.00","3,250.00","3,100.00","3,000.00","3,150.00","4,250.00","4,450.00","4,750.00","4,250.00","4,550.00","5,500.00","5,650.00","4,750.00","4,650.00","4,650.00","4,750.00","5,000.00","6,000.00","6,500.00","6,500.00","7,000.00","6,500.00","7,500.00","7,500.00","8,000.00","7,500.00","8,000.00","8,500.00","8,500.00","10,000.00","10,500.00","10,300.00","10,200.00","10,500.00","10,000.00","9,500.00","10,500.00","11,800.00","10,800.00","12,000.00","11,000.00"
Papua New Guinea,Asia & Oceania,(PGK/kg : G),Arabica,3.11,3.28,2.77,2.80,2.88,2.50,2.54,3.06,3.07,3.05,2.74,3.00,3.18,2.49,2.68,2.81,2.66,2.89,2.88,2.88,3.02,3.14,3.24,3.14,3.24,3.49,4.26,4.93,5.22,5.00,5.04,4.19,4.00,3.88,3.88,3.97,4.23,4.52,4.87,4.76,4.68,4.74,4.46,4.60,4.68,5.64,5.09,5.34
Papua New Guinea,Asia & Oceania,(PGK/kg : G),Robusta,1.47,1.47,1.37,1.33,1.20,0.80,0.73,1.60,1.72,1.57,1.48,1.50,1.95,1.53,1.65,1.60,1.41,1.53,1.77,1.50,1.47,1.40,1.69,1.40,1.69,1.87,1.91,1.47,1.49,1.83,1.83,1.87,1.52,1.47,1.47,1.53,1.77,1.95,2.03,2.01,2.04,2.04,1.95,1.91,1.97,3.11,2.96,2.82
Philippines,Asia & Oceania,(PHP/kg : G),Arabica,70.00,70.00,70.00,70.00,72.00,72.00,72.50,74.00,74.00,75.00,75.00,75.00,77.00,77.00,80.00,80.00,80.00,80.00,82.00,82.00,82.00,82.00,90.00,90.00,85.00,85.00,85.00,90.00,95.00,95.00,95.00,95.00,95.00,110.00,115.00,120.00,65.19,63.21,54.30,56.08,59.33,63.08,69.58,86.21,83.21,78.07,79.49,75.33
Philippines,Asia & Oceania,(PHP/kg : G),Robusta,43.63,43.48,39.73,38.50,38.76,35.27,36.86,39.01,40.31,38.47,36.64,37.38,43.77,40.80,39.74,39.82,40.01,44.21,39.43,36.74,37.43,34.34,35.62,40.73,31.57,31.94,35.63,48.00,55.78,62.00,62.65,56.68,52.17,52.00,57.00,62.00,58.19,56.21,47.30,49.08,52.33,56.08,62.58,79.21,76.21,71.07,72.49,68.33
Thailand,Asia & Oceania,(THB/kg : G),Robusta,31.56,34.30,24.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.85,27.19,29.44,23.25,22.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,29.41,26.81,27.75,29.35,0.00,0.00,0.00,0.00,0.00,0.00,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,45.57,45.57,45.57
Viet Nam,Asia & Oceania,(VND/kg : G),Robusta,"10,000.00","10,500.00","9,700.00","9,800.00","9,700.00","9,300.00","9,300.00","9,400.00","9,600.00","9,300.00","8,900.00","9,100.00","9,500.00","9,800.00","9,500.00","9,400.00","9,700.00","9,800.00","9,600.00","8,600.00","8,200.00","7,600.00","7,600.00","9,000.00","9,800.00","10,500.00","12,500.00","14,000.00","15,800.00",,,,,,,,"18,000.00","17,800.00","16,800.00","17,000.00","17,500.00","17,500.00","18,600.00","20,400.00","21,800.00","22,000.00","22,200.00","21,100.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
