,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Paid to Growers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in Current Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(National Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Asia & Oceania,(INR/50kg : G),Arabica,"3,505.00","3,381.00","3,119.00","3,038.00","3,328.00","3,250.00","3,223.00","2,827.00","3,133.00","3,108.00","3,016.00","3,467.00","3,723.00","3,443.00","2,975.00","3,233.00","3,344.00","3,259.00","3,152.00","3,075.00","3,063.00","3,014.00","2,852.00","2,667.00","2,449.00","2,350.00","2,341.00","2,298.00","2,427.00","2,479.00","2,382.00","2,227.00","2,184.00","2,110.00","2,086.00","1,996.00","1,946.00","1,952.00","2,051.00","2,265.00","2,180.00","2,104.00","2,099.00","2,010.00","2,050.00","2,128.00","2,333.00","2,349.00"
India,Asia & Oceania,(INR/50kg : G),Robusta,"3,332.00","3,058.00","2,694.00","2,600.00","2,599.00","2,651.00","2,720.00","2,563.00","2,827.00","2,640.00","2,566.00","2,541.00","2,149.00","1,768.00","1,626.00","1,698.00","1,746.00","1,772.00","1,769.00","1,781.00","1,864.00","1,862.00","1,743.00","1,521.00","1,452.00","1,230.00","1,200.00","1,173.00","1,198.00","1,293.00","1,290.00","1,195.00","1,190.00","1,152.00","1,142.00","1,106.00",953.00,881.00,"1,035.00","1,186.00","1,188.00","1,159.00","1,148.00","1,144.00","1,205.00","1,256.00","1,435.00","1,600.00"
Indonesia,Asia & Oceania,(IDR/kg : G),Arabica,,,,,,,,,,,,,"12,100.00","12,750.00","12,400.00","12,400.00","13,800.00","13,600.00","14,350.00","12,900.00","12,000.00","11,950.00","11,750.00","11,150.00","11,150.00","12,100.00","13,000.00","13,150.00","13,600.00","13,100.00","12,450.00","9,750.00","11,050.00","11,900.00","12,300.00","12,000.00","13,150.00","14,000.00","14,450.00","12,500.00","11,900.00","12,700.00","11,450.00","11,000.00","11,250.00","11,450.00","11,650.00","11,550.00"
Indonesia,Asia & Oceania,(IDR/kg : G),Robusta,"10,334.00","10,793.00","10,631.00","9,792.00","8,124.00","7,390.00","6,789.00","6,632.00","7,127.00","6,609.00","6,683.00","6,617.00","5,100.00","4,850.00","4,550.00","4,150.00","4,350.00","4,550.00","4,200.00","3,800.00","3,650.00","3,600.00","3,300.00","2,850.00","3,400.00","3,200.00","3,200.00","3,250.00","3,200.00","3,400.00","2,950.00","2,550.00","3,250.00","2,600.00","2,800.00","2,900.00","3,050.00","2,975.00","2,950.00","3,400.00","2,950.00","2,975.00","3,100.00","2,800.00","2,800.00","2,850.00","3,000.00","3,150.00"
Papua New Guinea,Asia & Oceania,(PGK/kg : G),Arabica,3.24,2.97,3.11,3.16,3.54,4.05,3.04,3.43,3.52,3.47,3.77,3.91,3.93,4.13,4.13,3.35,3.05,2.73,2.69,2.14,2.07,2.75,2.84,2.45,2.25,2.37,2.56,2.54,2.56,2.56,2.46,2.45,2.45,2.41,2.40,2.40,2.40,2.54,2.56,2.68,2.69,2.61,2.50,2.65,2.76,2.85,3.22,3.19
Papua New Guinea,Asia & Oceania,(PGK/kg : G),Robusta,2.08,2.05,2.05,2.13,2.09,2.36,2.05,2.11,2.13,2.13,2.12,2.12,1.95,1.89,1.89,1.64,1.39,1.27,1.06,0.89,0.93,1.23,1.16,0.78,0.80,0.89,0.93,0.85,0.82,0.81,0.85,1.07,1.03,0.95,0.93,0.80,0.83,0.83,0.80,0.83,0.83,1.27,1.38,1.47,1.42,1.23,1.47,1.47
Philippines,Asia & Oceania,(PHP/kg : G),Arabica,73.03,73.03,70.52,61.97,54.91,50.67,48.35,48.97,48.97,45.97,46.77,45.97,43.89,40.97,39.97,38.97,38.97,38.97,35.97,31.96,29.64,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,55.47,95.47,105.47,105.47,105.47,20.97,20.97,20.97,22.37,22.22,22.22,22.22,23.22,24.68,28.92,31.97,36.97
Philippines,Asia & Oceania,(PHP/kg : G),Robusta,69.03,69.03,66.51,55.57,50.91,46.67,44.97,44.97,44.97,41.97,43.52,41.97,39.30,36.97,35.97,34.97,34.97,34.97,31.97,28.96,29.64,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,26.47,24.47,21.47,21.47,21.47,20.97,20.97,20.97,22.37,22.22,22.22,22.22,23.22,24.68,27.43,31.22,35.22
